On website?,Film Title,Year,Original story (novel or short),Story author,Story Year,Setting,Director,Studio,Genre,Availability,Notes,Film URL,Sources,Research Portfolio Available,Do I have a copy?,notes on my copy
TRUE,Uncle Tom's Cabin,1914,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,Deep South,William Robert Daly,World Producing Corp.,Melodrama,Survives,,,,,FALSE,
TRUE,Uncle Tom’s Cabin,1918,Uncle Tom’s Cabin,Harriet Beecher Stowe,1852,Deep South,J. Searle Dawley,Famous Players-Lasky,Drama,Lost,,,,,FALSE,
TRUE,The Pearl of Love,1925,The Pearl of Orr's Island,Harriet Beecher Stowe,1862,Maine - coastal,Leon E. Danmun,Paul W. Whitcombe Productions,Melodrama,Lost,,,,,FALSE,
FALSE,Topsy and Eva,1927,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,Deep South,Del Lord,Feature Productions/United Artists,Drama,Survives,,,,,FALSE,
TRUE,Uncle Tom’s Cabin,1927,Uncle Tom’s Cabin,Harriet Beecher Stowe,1852,Deep South,Henry A. Pollard,Universal,,DVD,,Amazon.com: Uncle Tom's Cabin [Blu-ray],,,FALSE,
TRUE,Janet of the Dunes,1913,Janet of the Dunes,Harriet Comstock,1908,northeast atlantic coast - Long Island,Richard Ridgely,Edison Company,Drama,Unknown,,,,,FALSE,
TRUE,Joyce of the North Woods,1913,Joyce of the North Woods,Harriet Comstock,1911,Maine,Ashley Miller,Edison Company,Drama,Unknown,,,,,FALSE,
TRUE,The Place Beyond the Winds,1916,The Place Beyond the Winds,Harriet Comstock,1914,"St. Lawrence River Valley - Kenmore, Canada",Joseph De Grasse,Universal,Drama,DVD,4 of 5 reels survive,found in Dawson City,,,FALSE,
TRUE,A Son of the Hills,1917,A Son of the Hills,Harriet Comstock,1913,Appalachia,Harry Davenport,Vitagraph,Drama,Lost,lost per LOC,,,,FALSE,
TRUE,Silent Years,1921,Mam'selle Jo,Harriet Comstock,1918,St. Lawrence River Valley - NY,Louis Gasnier,R-C Pictures,Melodrama,Lost,lost per LOC,,,,FALSE,
FALSE,Mother's Cry,1930,Mother's Cry,Helen Grace Carlisle,1930,?,Hobart Henley,First National,Drama,Unknown,,,,,FALSE,
TRUE,Ramona,1910,Ramona,Helen Hunt Jackson,1884,Southern California,D.W. Griffith,Biograph,"Drama,Western",Online,,,,,TRUE,
TRUE,Ramona,1916,Ramona,Helen Hunt Jackson,1884,Southern California,Donald Crisp,State Rights,"Melodrama,Western",Incomplete,reel 5 survives,,,,FALSE,
TRUE,Ramona,1928,Ramona,Helen Hunt Jackson,1884,Southern California,Edwin Carewe,United Artists,"Drama,Western",Online,,https://www.youtube.com/watch?v=46X68vCbXPo,,,FALSE,
TRUE,Ramona,1936,Ramona,Helen Hunt Jackson,1884,Southern California,Henry King,20th Century Fox,"Drama,Musical,Western",DVD,,,,,FALSE,
